species,decimalLatitude,decimalLongitude,eventDate,geometry
Folsomia candida,43.616506,3.857597,2021-10-11/2021-10-22,POINT (3.857597 43.616506)
Folsomia candida,43.618756,3.923339,2021-10-11/2021-10-22,POINT (3.923339 43.618756)
Folsomia candida,43.649631,3.817294,2021-10-11/2021-10-22,POINT (3.817294 43.649631)
Folsomia candida,43.600822,3.926353,2021-10-11/2021-10-22,POINT (3.926353 43.600822)
Folsomia candida,43.597556,3.830811,2021-10-11/2021-10-22,POINT (3.830811 43.597556)
Folsomia candida,43.599456,3.898958,2021-10-11/2021-10-22,POINT (3.898958 43.599456)
Folsomia candida,43.6535,3.881606,2021-10-11/2021-10-22,POINT (3.881606 43.6535)
Folsomia candida,43.605406,3.865083,2021-10-11/2021-10-22,POINT (3.865083 43.605406)
Folsomia candida,43.618756,3.923339,2021-10-11/2021-10-22,POINT (3.923339 43.618756)
Folsomia candida,43.649631,3.817294,2021-10-11/2021-10-22,POINT (3.817294 43.649631)
Folsomia candida,43.584156,3.848911,2021-10-11/2021-10-22,POINT (3.848911 43.584156)
Folsomia candida,43.594636,3.837517,2021-10-11/2021-10-22,POINT (3.837517 43.594636)
Folsomia candida,43.610903,3.920825,2021-10-11/2021-10-22,POINT (3.920825 43.610903)
Folsomia candida,43.584156,3.848911,2021-10-11/2021-10-22,POINT (3.848911 43.584156)
Folsomia candida,43.649631,3.817294,2021-10-11/2021-10-22,POINT (3.817294 43.649631)
Folsomia candida,43.623364,3.8354,2021-10-11/2021-10-22,POINT (3.8354 43.623364)
Folsomia candida,43.584156,3.848911,2021-10-11/2021-10-22,POINT (3.848911 43.584156)
Folsomia candida,43.610903,3.920825,2021-10-11/2021-10-22,POINT (3.920825 43.610903)
Folsomia candida,43.62995,3.828278,2021-10-11/2021-10-22,POINT (3.828278 43.62995)
Folsomia candida,43.623364,3.8354,2021-10-11/2021-10-22,POINT (3.8354 43.623364)
Folsomia candida,43.609922,3.89045,2021-10-11/2021-10-22,POINT (3.89045 43.609922)
Folsomia candida,43.610903,3.920825,2021-10-11/2021-10-22,POINT (3.920825 43.610903)
Folsomia candida,43.62995,3.828278,2021-10-11/2021-10-22,POINT (3.828278 43.62995)
Folsomia candida,43.609383,3.894783,2021-10-11/2021-10-22,POINT (3.894783 43.609383)
Folsomia candida,43.609383,3.894783,2021-10-11/2021-10-22,POINT (3.894783 43.609383)
Folsomia candida,43.671581,3.913039,2021-10-11/2021-10-22,POINT (3.913039 43.671581)
Folsomia candida,43.620469,3.818247,2021-10-11/2021-10-22,POINT (3.818247 43.620469)
Folsomia candida,43.620469,3.818247,2021-10-11/2021-10-22,POINT (3.818247 43.620469)
Folsomia candida,43.580522,3.814619,2021-10-11/2021-10-22,POINT (3.814619 43.580522)
Folsomia candida,43.605692,3.898722,2021-10-11/2021-10-22,POINT (3.898722 43.605692)
Folsomia candida,43.625489,3.921375,2021-10-11/2021-10-22,POINT (3.921375 43.625489)
Folsomia candida,43.625489,3.921375,2021-10-11/2021-10-22,POINT (3.921375 43.625489)
Folsomia candida,43.605692,3.898722,2021-10-11/2021-10-22,POINT (3.898722 43.605692)
Folsomia candida,43.605692,3.898722,2021-10-11/2021-10-22,POINT (3.898722 43.605692)
Folsomia candida,43.573825,3.854731,2021-10-11/2021-10-22,POINT (3.854731 43.573825)
Folsomia candida,43.602169,3.900858,2021-10-11/2021-10-22,POINT (3.900858 43.602169)
Folsomia candida,43.602169,3.900858,2021-10-11/2021-10-22,POINT (3.900858 43.602169)
Folsomia candida,43.609383,3.894783,2021-10-11/2021-10-22,POINT (3.894783 43.609383)
Folsomia candida,43.610617,3.885272,2021-10-11/2021-10-22,POINT (3.885272 43.610617)
Folsomia candida,43.594636,3.837517,2021-10-11/2021-10-22,POINT (3.837517 43.594636)
Folsomia candida,43.58145,3.856206,2021-10-11/2021-10-22,POINT (3.856206 43.58145)
Folsomia candida,43.625208,3.836617,2021-10-11/2021-10-22,POINT (3.836617 43.625208)
Folsomia candida,43.608442,3.910225,2021-10-11/2021-10-22,POINT (3.910225 43.608442)
Folsomia candida,43.590286,3.856103,2021-10-11/2021-10-22,POINT (3.856103 43.590286)
Folsomia candida,43.610617,3.885272,2021-10-11/2021-10-22,POINT (3.885272 43.610617)
Folsomia candida,43.593297,3.882844,2021-10-11/2021-10-22,POINT (3.882844 43.593297)
Folsomia candida,43.594636,3.837517,2021-10-11/2021-10-22,POINT (3.837517 43.594636)
Folsomia candida,43.651761,3.920953,2021-10-11/2021-10-22,POINT (3.920953 43.651761)
Folsomia candida,43.590286,3.856103,2021-10-11/2021-10-22,POINT (3.856103 43.590286)
Folsomia candida,43.625208,3.836617,2021-10-11/2021-10-22,POINT (3.836617 43.625208)
Folsomia candida,43.654608,3.889572,2021-10-11/2021-10-22,POINT (3.889572 43.654608)
Folsomia candida,43.64625,3.843856,2021-10-11/2021-10-22,POINT (3.843856 43.64625)
Folsomia candida,43.651761,3.920953,2021-10-11/2021-10-22,POINT (3.920953 43.651761)
Folsomia candida,43.590286,3.856103,2021-10-11/2021-10-22,POINT (3.856103 43.590286)
Folsomia candida,43.653225,3.789069,2021-10-11/2021-10-22,POINT (3.789069 43.653225)
Folsomia candida,43.64625,3.843856,2021-10-11/2021-10-22,POINT (3.843856 43.64625)
Folsomia candida,43.580522,3.814619,2021-10-11/2021-10-22,POINT (3.814619 43.580522)
Folsomia candida,43.58145,3.856206,2021-10-11/2021-10-22,POINT (3.856206 43.58145)
Folsomia candida,43.64625,3.843856,2021-10-11/2021-10-22,POINT (3.843856 43.64625)
Folsomia candida,43.651761,3.920953,2021-10-11/2021-10-22,POINT (3.920953 43.651761)
Folsomia candida,43.58145,3.856206,2021-10-11/2021-10-22,POINT (3.856206 43.58145)
Folsomia candida,43.625489,3.921375,2021-10-11/2021-10-22,POINT (3.921375 43.625489)
Folsomia candida,43.580522,3.814619,2021-10-11/2021-10-22,POINT (3.814619 43.580522)
Folsomia candida,43.602169,3.900858,2021-10-11/2021-10-22,POINT (3.900858 43.602169)
Folsomia candida,43.597036,3.860742,2021-10-11/2021-10-22,POINT (3.860742 43.597036)
Folsomia candida,43.607328,3.860133,2021-10-11/2021-10-22,POINT (3.860133 43.607328)
