LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169762	3418	Moss: potential to dominate vegetation cover	7243	Bryophyte: Species potential to dominate vegetation cover	dominants	species not dominant											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169763	3419	Moss: arrangement of antheridia and archegonia on gametohytes	7244	Bryophyte: arrangement of antheridia and archegonia on gametohytes	dist_gamet	Monoicous											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169764	3420	Moss: arrangement of antheridia and archegonia on monoicous gametohytes	7245	Bryophyte: Arrangement of antheridia and archegonia on monoicous gametohytes	dist_gamet2	Autoicous											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169765	3421	Moss: seta length	7246	Bryophyte: seta length	seta_length	2-5 cm											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169766	3422	Moss: position of the capsule on the seta	7247	Bryophyte: position of the capsule on the seta	capsule_pos	erect											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169767	3423	Moss: capsule with peristome or not	7248	Bryophyte: capsule with peristome or not	capsule_peris	with peristome											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169768	764	Moss and fern spore width	1684	Fern  and moss spore width (diameter)	spores	34	micro m	Mean									Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169769	3424	Moss and fern spore ornamentation	7249	Fern and moss spore ornamentation	ornament	papillose											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169770	3425	Moss: fruiting frequency	7250	Bryophyte: Fruiting frequency	fruit_freq	frequent											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169771	3426	Moss: fruiting season	7251	Bryophyte: Fruiting season	fruit_seas	summer to autumn											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
